"REF_DATE","GEO","DGUID","Income concept","Economic family type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2017","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"2018","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage with income","Percent","239","units","0","v107652849","1.3.1.3","100.0","A","","","1"
"1976","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.5","","","","1"
"1977","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","5.3","","","","1"
"1978","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.8","","","","1"
"1979","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.1","","","","1"
"1980","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.9","","","","1"
"1981","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.4","","","","1"
"1982","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.5","","","","1"
"1983","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.8","","","","1"
"1984","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.8","","","","1"
"1985","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.4","","","","1"
"1986","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.5","","","","1"
"1987","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.4","","","","1"
"1988","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.1","","","","1"
"1989","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","2.6","","","","1"
"1990","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.1","","","","1"
"1991","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.9","","","","1"
"1992","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.6","","","","1"
"1993","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.8","B","","","1"
"1994","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.8","B","","","1"
"1995","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.2","B","","","1"
"1996","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.4","B","","","1"
"1997","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.8","B","","","1"
"1998","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.6","C","","","1"
"1999","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.7","B","","","1"
"2000","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.5","B","","","1"
"2001","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.9","C","","","1"
"2002","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.7","C","","","1"
"2003","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.9","C","","","1"
"2004","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.0","C","","","1"
"2005","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.0","C","","","1"
"2006","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.1","C","","","1"
"2007","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.9","C","","","1"
"2008","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.3","C","","","1"
"2009","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.7","C","","","1"
"2010","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.7","C","","","1"
"2011","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.7","C","","","1"
"2012","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.2","C","","","1"
"2013","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.2","C","","","1"
"2014","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.9","C","","","1"
"2015","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","4.2","C","","","1"
"2016","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.7","C","","","1"
"2017","Canada","2016A000011124","After-tax income","Economic families and persons not in an economic family","Percentage under $10,000 (including zeros and losses)","Percent","239","units","0","v107652850","1.3.1.4","3.6","C","","","1"
